no,type,category,amount,week
42,1,1,159000,1
194,1,1,154000,1
180,1,1,135000,1
47,1,1,128000,1
207,1,2,129000,1
83,1,1,125000,1
104,1,1,128000,1
118,1,1,121000,1
15,1,4,130000,1
234,1,1,121000,1
2,1,2,118000,1
126,1,3,110000,1
35,1,3,115000,1
11,1,3,94000,1
188,1,2,102000,1
59,1,2,106000,1
276,1,1,99000,1
199,1,3,101000,1
140,1,3,99000,0
105,1,2,89000,0
141,1,3,93000,1
222,1,4,95000,0
92,1,2,90000,1
178,1,3,88000,0
203,1,3,91000,0
288,1,3,89000,0
131,1,4,81000,1
174,1,3,89000,0
61,1,3,86000,0
117,1,2,80000,0
145,1,3,88000,0
72,1,3,96000,0
32,1,4,86000,0
253,1,2,86000,1
287,1,3,85000,0
64,1,2,86000,0
267,1,2,80000,0
54,1,2,88000,0
247,1,2,86000,1
63,1,2,80000,0
18,1,2,78000,0
144,1,2,80000,0
181,1,2,77000,1
225,1,3,81000,0
161,1,2,79000,0
55,1,3,80000,0
87,1,4,74000,0
31,1,2,66000,0
93,1,2,66000,0
33,1,1,65000,1
167,1,2,69000,0
281,1,1,55000,1
6,1,,,
26,1,,,
27,1,,,
34,1,,,
58,1,,,
62,1,,,
75,1,,,
80,1,,,
97,1,,,
116,1,,,
120,1,,,
128,1,,,
129,1,,,
139,1,,,
146,1,,,
151,1,,,
153,1,,,
163,1,,,
172,1,,,
173,1,,,
184,1,,,
189,1,,,
190,1,,,
212,1,,,
221,1,,,
230,1,,,
233,1,,,
240,1,,,
249,1,,,
252,1,,,
259,1,,,
264,1,,,
265,1,,,
268,1,,,
274,1,,,
277,1,,,
284,1,,,
43,2,4,167000,1
14,2,4,155000,1
135,2,4,155000,1
299,2,4,152000,1
86,2,4,151000,1
237,2,4,145000,1
218,2,4,128000,1
38,2,1,122000,0
41,2,4,121000,1
49,2,4,119000,1
160,2,4,118000,1
102,2,2,114000,1
224,2,4,110000,1
266,2,4,110000,1
220,2,2,106000,1
79,2,4,103000,1
1,2,4,99000,1
36,2,4,95000,1
215,2,4,91000,1
291,2,1,91000,1
200,2,4,89000,0
22,2,3,88000,1
231,2,4,88000,0
17,2,4,87000,0
278,2,4,86000,0
125,2,3,84000,1
13,2,2,84000,1
40,2,4,82000,0
149,2,4,78000,0
124,2,4,78000,0
176,2,4,77000,1
179,2,2,77000,1
152,2,3,75000,1
147,2,3,75000,0
89,2,4,63000,0
290,2,2,62000,1
270,2,3,55000,0
95,2,3,44000,0
50,2,3,43000,0
10,2,3,41000,0
82,2,3,36000,0
134,2,3,33000,0
73,2,1,32000,0
201,2,1,32000,0
272,2,1,31000,0
239,2,1,28000,0
208,2,1,26000,0
206,2,2,23000,0
70,2,2,21000,0
119,2,2,21000,0
57,2,2,19000,0
150,2,2,19000,0
4,2,,,
9,2,,,
23,2,,,
25,2,,,
45,2,,,
46,2,,,
51,2,,,
67,2,,,
76,2,,,
84,2,,,
90,2,,,
96,2,,,
99,2,,,
100,2,,,
107,2,,,
109,2,,,
111,2,,,
112,2,,,
122,2,,,
123,2,,,
130,2,,,
154,2,,,
155,2,,,
157,2,,,
165,2,,,
169,2,,,
191,2,,,
192,2,,,
195,2,,,
196,2,,,
202,2,,,
213,2,,,
223,2,,,
227,2,,,
236,2,,,
238,2,,,
245,2,,,
246,2,,,
248,2,,,
250,2,,,
257,2,,,
262,2,,,
271,2,,,
280,2,,,
295,2,,,
296,2,,,
298,2,,,
300,2,,,
137,3,4,176000,1
113,3,1,175000,1
159,3,1,174000,1
177,3,1,170000,1
255,3,1,165000,0
37,3,1,147000,1
289,3,1,139000,1
74,3,1,139000,0
106,3,1,131000,1
282,3,1,123000,1
5,3,4,117000,1
66,3,4,117000,1
69,3,1,107000,0
197,3,2,106000,0
182,3,2,102000,1
251,3,3,94000,0
256,3,2,87000,1
269,3,3,86000,1
20,3,3,74000,1
170,3,2,66000,1
254,3,2,66000,1
258,3,2,65000,1
183,3,2,65000,1
24,3,2,63000,1
56,3,2,62000,1
110,3,2,61000,1
187,3,1,60000,1
211,3,2,60000,1
127,3,2,59000,1
261,3,2,59000,1
138,3,2,58000,0
205,3,2,56000,0
8,3,1,39000,0
164,3,1,38000,0
12,3,1,38000,0
77,3,1,37000,1
143,3,1,37000,0
294,3,3,35000,0
68,3,1,35000,0
133,3,1,32000,0
19,3,1,32000,0
283,3,1,31000,0
148,3,1,28000,0
193,3,1,28000,0
209,3,1,26000,0
30,3,3,24000,0
3,3,3,23000,0
108,3,1,22000,0
242,3,3,21000,0
168,3,3,16000,0
142,3,1,15000,0
101,3,3,13000,0
7,3,,,
16,3,,,
21,3,,,
28,3,,,
29,3,,,
39,3,,,
44,3,,,
48,3,,,
52,3,,,
53,3,,,
60,3,,,
65,3,,,
71,3,,,
78,3,,,
81,3,,,
85,3,,,
88,3,,,
91,3,,,
94,3,,,
98,3,,,
103,3,,,
114,3,,,
115,3,,,
121,3,,,
132,3,,,
136,3,,,
156,3,,,
158,3,,,
162,3,,,
166,3,,,
171,3,,,
175,3,,,
185,3,,,
186,3,,,
198,3,,,
204,3,,,
210,3,,,
214,3,,,
216,3,,,
217,3,,,
219,3,,,
226,3,,,
228,3,,,
229,3,,,
232,3,,,
235,3,,,
241,3,,,
243,3,,,
244,3,,,
260,3,,,
263,3,,,
273,3,,,
275,3,,,
279,3,,,
285,3,,,
286,3,,,
292,3,,,
293,3,,,
297,3,,,
